id;title;product_url;gender;price_retail;sub_categorie;categorie;age;shape;color;occasion;season
50051;Boots for boys in sporty style;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-v-sportivnom-stile-temno-goluboj-20148210005;male;0;boots;shoes;14_24;column;grey;casual;autumn
50052;Boots for boys from genuine leather;https://acoolakids.ru/obuv-dlya-malchikov/botinki-dlya-malchikov-iz-naturalnoj-kozhi-temno-goluboj-20128210017;male;0;boots;shoes;14_24;column;grey;casual;autumn
50053;Boots for boys from felt;https://acoolakids.ru/obuv-dlya-malchikov/sapozhki-dlya-malchikov-iz-vojloka-chernyj-20128230001;male;0;sneakers;shoes;14_24;column;brown;casual;autumn
50054;Sweater for boys with a collar-golf;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-s-vorotnikom-golf-temno-seryj-20120320031;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;grey;casual;autumn
50055;Sweater for boys with a collar-golf;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-s-vorotnikom-golf-temno-zelenyj-20120320031;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50056;Blend Wool Boys Sweater;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-iz-smesovoj-shersti-goluboj-20120320030;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50057;Blend Wool Boys Sweater;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-iz-smesovoj-shersti-temno-goluboj-20120320030;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;grey;casual;autumn
50058;Boys' Jumper with T-Shirt Imitation;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-imitaciej-futbolki-temno-goluboj-20120310055;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50059;Boys shirt with butterfly;https://acoolakids.ru/rubashki-dlya-malchikov/sorochka-dlya-malchikov-s-babochkoj-belyj-20120280067;male;0;t_shirt;tops;14_24;column;grey;casual;autumn
50060;Twill boys trousers;https://acoolakids.ru/bryuki-dlya-malchikov/bryuki-dlya-malchikov-iz-tvila-chernyj-20120160186;male;0;straight_leg;trousers;14_24;column;grey;casual;autumn
50061;Twill boys trousers;https://acoolakids.ru/bryuki-dlya-malchikov/bryuki-dlya-malchikov-iz-tvila-temno-goluboj-20120160186;male;0;straight_leg;trousers;14_24;column;grey;casual;autumn
50062;Slim fit jeans trousers for boys;https://acoolakids.ru/dzhinsy-dlya-malchikov/dzhinsovye-bryuki-dlya-malchikov-slim-fit-temno-goluboj-20120160185;male;0;skinny_leg;jeans;14_24;column;blue;casual;autumn
50063;Denim pants for boys straight cut;https://acoolakids.ru/dzhinsy-dlya-malchikov/dzhinsovye-bryuki-dlya-malchikov-pryamogo-kroya-sinij-20120160184;male;0;bootcut_straight_leg;jeans;14_24;column;blue;casual;autumn
50064;Pants for boys sports;https://acoolakids.ru/bryuki-dlya-malchikov/bryuki-dlya-malchikov-sportivnye-krasnyj-20120160173;male;0;straight_leg;trousers;14_24;column;brown;casual;autumn
50065;Trousers for boys knitted;https://acoolakids.ru/bryuki-dlya-malchikov/bryuki-dlya-malchikov-trikotazhnye-seryj-print-20120160172;male;0;straight_leg;trousers;14_24;column;grey;casual;autumn
50066;Jumper for boys with printed print;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-nabivnym-printom-nabivka-20120100148;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50068;Boys' Rocker Jumper;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-printom-v-rokerskom-stile-nabivka-20120100138;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50069;Boys' Camouflage Jumper;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-kamuflyazhnym-printom-seryj-print-20120100136;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50070;Sweater for boys with a collar-golf;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-s-vorotnikom-golf-temno-seryj-20110320033;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;grey;casual;autumn
50071;Sweater for boys with a collar-golf;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-s-vorotnikom-golf-temno-zelenyj-20110320033;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;green;casual;autumn
50072;Blend Wool Boys Sweater;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-iz-smesovoj-shersti-goluboj-20110320032;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
